# Vault Integration Coverage v2 — generated by coverage/_build-tsv.py
# Source: each plan's `## Vault integration (added 2026-04-19)` table
# Columns: plan_file	task_id	insertion_site	vault_slug	status
# Status legend: planned | seeded-inbox | extracted | consumed | verified | ✅ existing | 🟡 seed gap
#
plan_file	task_id	insertion_site	vault_slug	status
06-schematic.md	Wave 5 Task 5.9 (Pin alternate-function dialog, E2E-963)	Click pin name → modal	Per-pin vault slug (e.g. `attiny85-pb0-alternate-functions-ain0-mosi-oc0a-pcint0`, `esp32-gpio12-must-be-low-at-boot-or-module-crashes`)	🟡 mostly exists in `microcontrollers` MOC — inventory
07-breadboard.md	Wave 6 Task 6.1 (hover-pin Vault tooltip)	Each MCU pin on the board — `<VaultHoverCard slug={pin.vaultSlug}>`	`esp32-gpio12-must-be-low-at-boot-or-module-crashes` + one slug per strapping pin	✅ existing content
07-breadboard.md	Wave 6 Task 6.2 (mistake catalog rule alerts)	Each `MistakeRule.message` gets a `vaultSlug`; toast gets "Learn more"	`drc-should-flag-direct-gpio-to-inductive-load-connections-and-suggest-driver-plus-flyback-subcircuit` + per-rule slugs	✅ partial — inventory per rule
07-breadboard.md	Wave 6 Task 6.7 (saved pattern cards)	Pattern card metadata `vaultSlug` linking to canonical circuit notes	`555-timer-astable-oscillator`, `h-bridge-mosfet-layout`, `i2c-pullup-sizing`	🟡 seed gaps
07-breadboard.md	Wave 4 Task 4.1 (connectivity explainer rail math)	Rail trace popover — `<VaultExplainer slug="breadboard-power-rail-topology">`	`breadboard-power-rail-topology-dual-side-vs-single`	🟡 seed gap
07-breadboard.md	Wave 2 Task 2.1 (wire color conventions)	Color picker — inline definitions + vault deep link	`wire-color-code-conventions-red-vcc-black-gnd`	🟡 seed gap
07-breadboard.md	Wave 4 Task 4.3 (voltage probe readings)	Probe HUD — "Why this voltage?" link	`voltage-divider-math-and-probing-methodology`	🟡 seed gap
08-pcb-3d-order.md	Wave 1 Task 1.5 (trace slider tooltips)	PCB trace-width slider — `<VaultExplainer slug="trace-width-vs-current-carrying-capacity">`	`trace-width-vs-current-carrying-capacity-ipc-2221`	🟡 seed gap
08-pcb-3d-order.md	Wave 1 Task 1.4 (layer stack sync)	Each layer row "?" icon → `<VaultHoverCard topic="copper-prepreg-soldermask-stackup">`	`pcb-layer-stack-copper-prepreg-soldermask-silkscreen`	🟡 seed gap
08-pcb-3d-order.md	Wave 3 Task 3.3 (project-type recommendation)	AI recommendation engine reads MOC `pcb-fabrication-comparison`	`moc-pcb-fabrication-comparison-jlc-oshpark-pcbway-tradeoffs`	🟡 seed gap (create MOC)
08-pcb-3d-order.md	Wave 3 Task 3.4 (fab profile cards)	Each fab card (JLC/OSH Park/PCBWay) has `vaultSlug` metadata	`jlcpcb-capability-matrix`, `osh-park-capability-matrix`, `pcbway-capability-matrix`	🟡 seed gaps
08-pcb-3d-order.md	Wave 2 Task 2.5 (pin-1 markers + polarity indicators)	3D view polarity overlay — "Why pin 1?" tooltip	`pin-1-marker-conventions-dot-notch-bevel`	🟡 seed gap
09-component-editor.md	Wave 2 Task 2.2 (Family HoverCard, E2E-374)	ComponentEditor form, `<Label>` for Family	`component-field-family-taxonomy-mcu-passive-power-sensor-etc`	🟡 planned — seed gap
09-component-editor.md	Wave 2 Task 2.2 (Mounting Type HoverCard)	same form, Mounting Type label	`component-mounting-type-smd-vs-through-hole-definitions`	🟡 planned — seed gap
09-component-editor.md	Wave 2 Task 2.2 (Package Type HoverCard)	same form, Package label	`component-package-types-soic-sop-qfn-qfp-bga-dip-definitions`	🟡 planned — likely partial vault coverage; /vault-gap to verify
09-component-editor.md	Wave 2 Task 2.2 (MPN HoverCard)	same form, MPN label	`manufacturer-part-number-mpn-vs-generic-part-definition`	🟡 planned — seed gap
09-component-editor.md	Wave 3 Task 3.1 (parts sidebar subtitle)	Sidebar `<PartCard>` subtitle line	Per-part vault note via `fm.name === partSlug` lookup	🟡 planned — consumption pattern
09-component-editor.md	Wave 3 Task 3.3 (bulk edit pre-check)	Before bulk edit applies, validate target field knowledge exists	`component-field-bulk-edit-safety-pattern`	🟢 low-priority
10-procurement-suite.md	Wave 2 Task 2.7 (ESD tooltip, E2E-380)	BOM row Cost Optimisation/ESD/Assembly toggle labels	`electrostatic-discharge-esd-protection-filter-definition`	🟡 planned — seed gap
10-procurement-suite.md	Wave 3 Task 3.2 (empty-state hints, E2E-479)	Supply Chain / Templates / My Parts empty states	Three separate slugs: `supply-chain-eol-planning-workflow`, `bom-templates-reusability-pattern`, `personal-inventory-tracking-discipline`	🟡 planned — seed gaps
10-procurement-suite.md	Wave 4 Task 4.1 (alternate row reason, E2E-524)	Alternate suggestions dropdown in BOM editor	`<VaultExplainer slug={alternate.reasonSlug}>` per-alternate reasoning (cost, lifecycle, sourcing, spec-match)	🟡 planned — may use existing MOC `power-systems` / `passives`
11-validation-simulation.md	Wave 1 Task 1.4 (Design Troubleshooter prompt)	Symptoms input — `buildVaultContext` auto-inject already lives in `server/ai.ts` (post 2026-04-14)	N/A — already consumes vault	✅ existing infrastructure
11-validation-simulation.md	Wave 2 Task 2.4 (DC Operating Point plain-English, E2E-394)	Simulation result table — Student-mode label substitution	`dc-operating-point-analysis-definition-and-interpretation`	🟡 planned — seed gap
11-validation-simulation.md	Wave 2 Task 2.2 (Start Simulation disabled tooltip, E2E-392)	`disabledReason` on Button	`simulation-readiness-preconditions-spice-model-plus-placed-components`	🟡 planned — seed gap
11-validation-simulation.md	Wave 1 Task 1.1 (DRC severity colors, E2E-384)	Validation row icon + color	`drc-severity-taxonomy-error-warning-info-and-how-to-triage`	🟡 planned — seed gap
11-validation-simulation.md	Every DRC rule (systemic per T10 quality gate)	Each rule has a `vaultSlug` field; "Why is this wrong?" button → `<VaultExplainer slug={rule.vaultSlug}>`	Many — e.g. `drc-should-flag-direct-gpio-to-inductive-load-...` already exists	✅ partially covered; inventory via `/vault-suggest-for-plan`
12-arduino-serial-code.md	Wave 1 Task 1.3 (Verify tooltip, E2E-345)	Arduino toolbar Verify button	`arduino-build-pipeline-verify-vs-upload-compilation-only`	🟡 seed gap
12-arduino-serial-code.md	Wave 1 Task 1.7 (SIMULATE disambiguation, E2E-348)	Sub-tab rename + deep-link	`arduino-in-sketch-simulation-vs-full-spice-simulation-when-to-use`	🟡 seed gap
12-arduino-serial-code.md	Wave 2 Task 2.2 (Baud rate tooltip, E2E-432)	Serial Monitor baud dropdown	`serial-baud-rates-standard-values-and-arduino-default-115200`	🟡 seed gap
12-arduino-serial-code.md	Wave 2 Task 2.3 (Custom baud + RTS/DTR)	Serial controls	`serial-rts-dts-flow-control-pulse-semantics`	🟡 seed gap
13-learning-surfaces.md	Wave 1 Task 1.3 (Learn → Vault MOC cross-link)	Every Learn article frontmatter MUST include `vaultMoc: <slug>`; card footer link to MOC	54 MOCs already in vault — `moc-microcontrollers`, `moc-passives`, `moc-power-systems`, etc.	✅ existing content; CI assertion needed
13-learning-surfaces.md	Wave 3 Task 3.2 (Apply pattern to project)	Pattern card has `vaultSlug`; instantiating also inserts a comment node `<VaultHoverCard>`	Per-pattern (e.g. `rc-lowpass-filter-cutoff-derivation`, `esp32-boot-mode-strapping-pins`)	✅ existing content
13-learning-surfaces.md	Wave 3 Task 3.4 (Starter Open Circuit multi-target)	Each starter has `vaultSlug` in frontmatter; preserved across Schematic/Breadboard/PCB targets	Per-starter (e.g. `arduino-blink-canonical-starter-wiring`)	🟡 seed gaps per starter
13-learning-surfaces.md	Wave 2 Task 2.9 (Graph view sub-tab)	Force-directed graph reads T3 backlink index (`ops/index/plan-vault-backlinks.json`) as edge source	N/A — consumes infrastructure	✅ T3 shipped
13-learning-surfaces.md	Wave 3 Task 3.5-3.7 (Labs pedagogy)	Each lab step has `vaultSlug`; "Why this step?" → `<VaultExplainer>`	Per-lab-step	🟡 seed gaps per lab
14-community-tasks-history.md	Wave 1 Task 1.3 (license plain-English, E2E-406)	License badge HoverCard	Per-license: `license-mit-plain-english`, `license-cc0-plain-english`, `license-cc-by-plain-english`, `license-cc-by-sa-plain-english`	🟡 seed gaps
14-community-tasks-history.md	Wave 2 Task 2.3 ("What is a kanban board?", E2E-419)	Kanban column header "?" icon	`kanban-board-workflow-methodology`	🟡 seed gap
14-community-tasks-history.md	Wave 2 Task 2.9 (NRND tooltips, E2E-465)	Lifecycle badge	`lifecycle-active-definition`, `lifecycle-nrnd-not-recommended-for-new-designs`, `lifecycle-eol-end-of-life`, `lifecycle-obsolete`, `lifecycle-unknown`	🟡 seed gaps
14-community-tasks-history.md	Wave 3 Task 3.4 (comments anchored, E2E-467)	Anchor badge hover	`design-review-commenting-discipline`	🟡 seed gap
14-community-tasks-history.md	Wave 1 Task 1.1 (community detail dialog — consumed from 02)	Tag chips on detail dialog	Per-tag MOCs (existing)	✅ existing content
15-generative-digital-twin-exports.md	Wave 1 Task 1.4 (Population/Generations tooltips, E2E-472)	Slider labels + Learn cross-link	`genetic-algorithm-parameters-population-and-generations-explained`	🟡 seed gap
15-generative-digital-twin-exports.md	Wave 1 Task 1.2 (Preset profiles, E2E-469)	Profile dropdown — each preset has `vaultSlug` justification	`ga-preset-hobby-vs-industrial-vs-automotive-constraints`	🟡 seed gap
15-generative-digital-twin-exports.md	Wave 3 Task 3.5 (KiCad Jobsets, E2E-529)	Jobset template descriptions	`kicad-9-jobsets-release-bundle-orchestration`	🟡 seed gap
15-generative-digital-twin-exports.md	Wave 4 Task 4.3 (Calculator formula → Learn, E2E-437)	Every calculator card has `vaultSlug` for the underlying physics	`ohms-law-v-equals-i-times-r`, `rc-lowpass-cutoff-frequency`, `voltage-divider-formula`, `resistor-parallel-series-combining`	🟡 seed gaps
15-generative-digital-twin-exports.md	Wave 4 Task 4.4 (Unit conversion, E2E-439)	Conversion card — "why this matters"	`mil-vs-mm-pcb-unit-convention`, `awg-vs-mm2-wire-sizing`, `dbm-vs-mw-rf-power-units`	🟡 seed gaps
15-generative-digital-twin-exports.md	Wave 2 Task 2.2 (Digital Twin trust receipt)	Trust receipt body	`digital-twin-simulation-fidelity-limits`	🟡 seed gap
